Altium Designer Pick and Place Locations
C:\Users\sturn\Desktop\Thunderbots\Electrical\PCB_Power\power-v3.3\pcb\Project Outputs for power_distribution\Pick Place\Pick Place for power-v3.3.csv

========================================================================================================================
File Design Information:

Date:       21-11-21
Time:       23:44
Revision:   f9e5a5d1bd8d84fed507ce28c2e18eb79a2c158c
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"PMS_SDA","Test Point (Via)","TopLayer","TP","7597.047","3569.245","90",""
"PMS_SCL","Test Point (Via)","TopLayer","TP","7527.030","3573.227","90",""
"PHV2","4365002","BottomLayer","43650-02","7646.623","2328.108","180","MOLEX MICROFIT 2CKT RIGHT THRU"
"PHV1","4365002","BottomLayer","43650-02","5989.577","2321.805","180","MOLEX MICROFIT 2CKT RIGHT THRU"
"PGND","Test Point - 5019","TopLayer","TP380X203","8127.410","4445.849","180","PC Test Point, Miniature Phosphor Bronze, Silver Plating Surface Mount Mounting Type"
"P3","4365002","BottomLayer","43650-02","4416.342","2504.856","180","MOLEX MICROFIT 2CKT RIGHT THRU"
"P2","4365002","BottomLayer","43650-02","5458.294","2488.922","180","MOLEX MICROFIT 2CKT RIGHT THRU"
"P1","XT60","BottomLayer","Amass_XT60PW-M","7697.983","4590.718","180","XT60 CONNECTORS FEMALE PAIR"
"L2","IHLP5050CEER3R3M01","TopLayer","IND_IHLP-5050CE_VIS","5905.894","3958.238","270","3.3uH 12A Shielded Molded Inductor 12mOhm Max"
"L1","SRP1265A-330M","TopLayer","IND_SRP1265A-330M","6220.535","2778.128","0","33µH Shielded Wirewound Inductor 8A 58mOhm Max Nonstandard"
"KICK_G","Test Point (Via)","TopLayer","TP","4624.445","3251.737","90",""
"J12","SM06B-SRSS-TB(LF)(SN)","TopLayer","JST_SM06B-SRSS-TB(LF)(SN)","3655.816","4738.419","180","Connector Header Surface Mount, Right Angle 6 position 0.039 _1.00mm_"
"J10","CN HDR 2POS JST XH","TopLayer","JST_B2B-XH-A(LF)(SN)","5247.459","5354.941","180","Connector Header Through Hole 2 position 0.098 _2.50mm_
JST XH"
"J9","CN HDR 2POS JST XH","TopLayer","JST_B2B-XH-A(LF)(SN)","5247.558","5042.226","180","Connector Header Through Hole 2 position 0.098 _2.50mm_
JST XH"
"J7","CN HDR 2POS JST XH","TopLayer","JST_B2B-XH-A(LF)(SN)","3464.054","3090.176","310","Connector Header Through Hole 2 position 0.098 _2.50mm_
JST XH"
"J6","B3B-PH-SM4-TB(LF)(SN)","TopLayer","JST_B3B-PH-SM4-TB(LF)(SN)","3763.443","2705.244","130","Connector Header Surface Mount 3 position 0.079" (2.00mm)"
"J5","430451010","BottomLayer","CON_430451010_MOL","4045.323","4588.616","0","Connector Header Surface Mount, Right Angle 10 position 0.118" (3.00mm)"
"J3","CN HDR 2POS JST XH","TopLayer","JST_B2B-XH-A(LF)(SN)","6680.064","5196.333","90","Connector Header Through Hole 2 position 0.098 _2.50mm_
JST XH"
"J1","CN HDR 2POS JST XH","TopLayer","JST_B2B-XH-A(LF)(SN)","8074.244","4182.250","90","Connector Header Through Hole 2 position 0.098 _2.50mm_
JST XH"
"HVM_RAW","Test Point (Via)","TopLayer","TP","3433.500","3457.357","0",""
"HVM_OUT","Test Point (Via)","TopLayer","TP","3725.960","3389.718","0",""
"GND","Test Point - 5019","TopLayer","TP380X203","3899.455","3493.393","0","PC Test Point, Miniature Phosphor Bronze, Silver Plating Surface Mount Mounting Type"
"G_ENCA","Test Point - 5019","TopLayer","TP380X203","4661.938","4924.418","0","PC Test Point, Miniature Phosphor Bronze, Silver Plating Surface Mount Mounting Type"
"G_ENCB","Test Point - 5019","TopLayer","TP380X203","4660.657","5050.406","0","PC Test Point, Miniature Phosphor Bronze, Silver Plating Surface Mount Mounting Type"
"FL_TX","Test Point (Via)","TopLayer","TP","3690.329","3951.861","180",""
"FL_RX","Test Point (Via)","TopLayer","TP","3731.532","4191.344","180",""
"FB_D","Test Point - 5019","TopLayer","TP380X203","8079.764","2696.007","0","PC Test Point, Miniature Phosphor Bronze, Silver Plating Surface Mount Mounting Type"
"FB_CSP","Test Point - 5019","TopLayer","TP380X203","7630.075","2643.966","180","PC Test Point, Miniature Phosphor Bronze, Silver Plating Surface Mount Mounting Type"
"FB_CSN","Test Point - 5019","TopLayer","TP380X203","7284.934","2643.966","180","PC Test Point, Miniature Phosphor Bronze, Silver Plating Surface Mount Mounting Type"
"F2","Fuse 3A 1206","TopLayer","1206","6242.137","4190.516","270","FUSE 3A 63V AC/DC SLOW 1206"
"F1","3557-2","BottomLayer","FUSE-3549-2","6978.087","4626.262","0","Fuse Block 30A 500V 1 Circuit Blade Through Hole"
"D14","MUR860J","BottomLayer","DO-214AB-DIODES","4014.057","2445.967","90","Diode Standard 600 V 8A Surface Mount SMC"
"D12","MUR860J","BottomLayer","DO-214AB-DIODES","5085.256","2427.066","90","Diode Standard 600 V 8A Surface Mount SMC"
"D15","SMCJ14A","TopLayer","DIOM7959X262N","4417.026","3010.576","180","23.2V Clamp 64.7A Ipp Tvs Diode Surface Mount DO-214AB (SMC), VR = 14V, VBR = 15.6V"
"D11","SM3.3H-TP","TopLayer","SOT-23A-3","3617.232","3334.444","270","3.3V Reverese Standoff, 3.5V Breakdown, 12.5V Clamp 40A (8/20µs) Ipp Tvs Diode SMD SOT-23"
"D13","SMCJ14A","TopLayer","DIOM7959X262N","5048.241","3009.113","180","23.2V Clamp 64.7A Ipp Tvs Diode Surface Mount DO-214AB (SMC), VR = 14V, VBR = 15.6V"
"D10","NZ9F3V3T5G","TopLayer","SOD-923_0P6X0P85_ONS","3754.720","3670.947","90","Zener Diode 3.3 V 200 mW ±5% Surface Mount SOD-923"
"D6","SM5817PL-TP","TopLayer","SOD-123","6455.216","4201.499","270","Diode Schottky 20V 1A Surface Mount SOD-123FL"
"D4","SM5817PL-TP","TopLayer","SOD-123","6351.971","4201.499","270","Diode Schottky 20V 1A Surface Mount SOD-123FL"
"D9","3SMBJ5929B-TP","BottomLayer","DO-214AA","5863.070","3087.957","90","Diode ZENER 15V 3W"
"D8","LED2","TopLayer","3.2X1.6X1.1","8464.732","3220.960","270","Typical RED, GREEN, YELLOW, AMBER GaAs LED"
"D7","VS-5EWH06FN-M3","BottomLayer","DPAK_(TO-252)","6915.434","2321.577","90","Diode Switching 600V 5A DPAK"
"D5","LED2","TopLayer","3.2X1.6X1.1","8470.358","4694.617","0","Typical RED, GREEN, YELLOW, AMBER GaAs LED"
"D3","LED2","TopLayer","3.2X1.6X1.1","5679.692","4421.191","270","Typical RED, GREEN, YELLOW, AMBER GaAs LED"
"D2","80V 5A","TopLayer","DIOSC6959X240","5752.275","2831.402","90","Diode Schottky 80V 5A Surface Mount SMA"
"D1","SMAZ12-13-F","BottomLayer","SMA_DIO-L","7403.182","4130.707","90","Zener Diode 12 V 1 W ±5% Surface Mount SMA"
"CHIP_G","Test Point (Via)","TopLayer","TP","4998.300","3243.032","90",""
"CHARGE","Test Point (Via)","TopLayer","TP","7107.910","3732.988","90",""
"C58","0.10uF","TopLayer","0603","4334.044","4740.378","270","CAP CER 0.10UF 35V X7R 0603/0805"
"C66","1.0uF","TopLayer","0603","3910.484","3774.095","90","CAP CER 1.0UF 16V X5R 0603/0805"
"C65","1.0uF","TopLayer","0603","3960.131","3773.745","90","CAP CER 1.0UF 16V X5R 0603/0805"
"C64","1.0uF","TopLayer","0603","3793.564","3918.097","0","CAP CER 1.0UF 16V X5R 0603/0805"
"C63","1.0uF","TopLayer","0603","4057.570","4157.291","0","CAP CER 1.0UF 16V X5R 0603/0805"
"C62","1.0uF","TopLayer","0603","3857.739","4137.393","270","CAP CER 1.0UF 16V X5R 0603/0805"
"C61","1.0uF","TopLayer","0603","3793.564","3982.676","0","CAP CER 1.0UF 16V X5R 0603/0805"
"C60","1.0uF","TopLayer","0603","4244.474","4007.419","180","CAP CER 1.0UF 16V X5R 0603/0805"
"C59","4.7uF","TopLayer","0603","3859.376","3773.745","90","CAP CER 4.7UF 35V X7R 0603/0805"
"C57","0.10uF","TopLayer","0603","4107.384","3789.827","180","CAP CER 0.10UF 16V X5R 0603/0805"
"C56","0.10uF","TopLayer","0603","4041.080","4740.378","270","CAP CER 0.10UF 35V X7R 0603/0805"
"C55","0.10uF","TopLayer","0603","5081.505","4672.129","180","CAP CER 0.10UF 16V X5R 0603/0805"
"C54","0.10uF","TopLayer","0603","5081.505","4624.169","180","CAP CER 0.10UF 16V X5R 0603/0805"
"C50","0.1uF 25V","BottomLayer","0603","4610.467","4354.656","225","CAP CER 0.1UF 25V X7R 0805/0603"
"C49","0.1uF 25V","BottomLayer","0603","4542.437","4422.686","225","CAP CER 0.1UF 25V X7R 0805/0603"
"C48","0.1uF 25V","BottomLayer","0603","4576.452","4388.671","225","CAP CER 0.1UF 25V X7R 0805/0603"
"C47","0.1uF 25V","TopLayer","0603","6844.371","5197.641","270","CAP CER 0.1UF 25V X7R 0805/0603"
"C46","0.1uF 25V","TopLayer","0603","6613.876","4999.216","0","CAP CER 0.1UF 25V X7R 0805/0603"
"C52","0.1uF 25V","TopLayer","0603","3986.326","4430.439","90","CAP CER 0.1UF 25V X7R 0805/0603"
"C51","0.1uF 25V","TopLayer","0603","3937.130","4430.955","90","CAP CER 0.1UF 25V X7R 0805/0603"
"C38","0.010uF","TopLayer","0603","3491.865","3374.055","90","CAP CER 0.010UF 16V X5R 0603/0805"
"C37","0.010uF","TopLayer","0603","3608.093","3648.081","0","CAP CER 0.010UF 16V X5R 0603/0805"
"C36","1.0uF","TopLayer","0603","3609.274","3707.126","180","CAP CER 1.0UF 16V X5R 0603/0805"
"C34","10uF","TopLayer","0603","7606.565","3050.999","270","CAP CER 10UF 16V X5R 0603/0805"
"C33","0.10uF","TopLayer","0805","7146.647","2906.955","270","CAP CER 0.10UF 35V X7R 0603/0805"
"C32","0.1uF","BottomLayer","1210","7263.392","2453.363","90","CAP CER 0.1uF 630V X7R 1210"
"C40","0.10uF","TopLayer","0603","4567.165","3381.090","270","CAP CER 0.10UF 16V X5R 0603/0805"
"C30","0.10uF","TopLayer","0805","6840.621","3258.701","90","CAP CER 0.10UF 35V X7R 0603/0805"
"C29","10uF 35V","TopLayer","0805","6950.632","3260.569","90","CAP CER 10uF 35V X5R 1206/0805"
"C20","100uF 35V","TopLayer","CAP_POL_ALU_6.3x5.8","7340.016","3572.098","270","CAP ALUM 100UF 35V SMD"
"C19","100uF 35V","TopLayer","CAP_POL_ALU_6.3x5.8","6767.220","3569.479","270","CAP ALUM 100UF 35V SMD"
"C18","100uF 35V","TopLayer","CAP_POL_ALU_6.3x5.8","7055.493","3572.098","270","CAP ALUM 100UF 35V SMD"
"C23","1000uF 250V","BottomLayer","RADIAL,_CAN_-_THRU_25.4mm","8650.787","4053.543","180","United Chemi-Con
ESMQ251VSN102MQ45S"
"C22","1000uF 250V","BottomLayer","RADIAL,_CAN_-_THRU_25.4mm","3242.913","4053.543","0","United Chemi-Con
ESMQ251VSN102MQ45S"
"C28","10uF 35V","BottomLayer","0805","6576.513","3298.114","0","CAP CER 10uF 35V X5R 1206/0805"
"C27","10uF 35V","BottomLayer","0805","6576.513","3051.483","0","CAP CER 10uF 35V X5R 1206/0805"
"C26","10uF 35V","BottomLayer","0805","6576.513","3133.693","0","CAP CER 10uF 35V X5R 1206/0805"
"C25","10uF 35V","BottomLayer","0805","6576.513","3215.904","0","CAP CER 10uF 35V X5R 1206/0805"
"C24","10uF 35V","BottomLayer","0805","6576.513","3380.325","0","CAP CER 10uF 35V X5R 1206/0805"
"C21","0.10uF","TopLayer","0805","6837.104","3090.442","270","CAP CER 0.10UF 35V X7R 0603/0805"
"C17","10uF 35V","TopLayer","0805","6949.395","3090.442","270","CAP CER 10uF 35V X5R 1206/0805"
"C16","10uF","TopLayer","0603","5772.974","4360.528","90","CAP CER 10UF 16V X5R 0603/0805"
"C15","10uF 35V","TopLayer","0805","6339.889","4439.840","270","CAP CER 10uF 35V X5R 1206/0805"
"C42","0.1uF 25V","TopLayer","0603","4183.203","3177.331","0","CAP CER 0.1UF 25V X7R 0805/0603"
"C41","0.1uF 25V","TopLayer","0603","4748.481","3131.302","90","CAP CER 0.1UF 25V X7R 0805/0603"
"C39","1.0uF","TopLayer","0603","4503.682","3381.004","270","CAP CER 1.0UF 16V X5R 0603/0805"
"C31","2.2uF","TopLayer","0603","7447.388","3393.510","180","CAP CER 2.2UF 35V X7R 0603/0805"
"C14","1.5nF","TopLayer","0603","6348.839","3825.737","180","CAP CER 1500pF 25V X7R 0603"
"C13","22uF","TopLayer","0805","6239.598","3933.058","270","CAP CER 22UF 16V X5R 0805"
"C12","22uF","TopLayer","0805","6401.010","3933.058","270","CAP CER 22UF 16V X5R 0805"
"C11","22uF","TopLayer","0805","6319.062","3933.058","270","CAP CER 22UF 16V X5R 0805"
"C10","0.10uF","TopLayer","0603","6556.521","3543.668","180","CAP CER 0.10UF 16V X5R 0603/0805"
"C9","10uF","TopLayer","0603","6556.521","3494.985","180","CAP CER 10UF 16V X5R 0603/0805"
"C4","1uF 35V","TopLayer","0805","5922.815","3548.272","270","CAP CER 1UF 35V X7R 0805"
"C3","10uF 35V","TopLayer","0805","5799.717","3548.272","270","CAP CER 10uF 35V X5R 1206/0805"
"C7","22uF","TopLayer","0805","6336.051","3085.741","0","CAP CER 22UF 16V X5R 0805"
"C6","22uF","TopLayer","0805","6336.806","3245.651","0","CAP CER 22UF 16V X5R 0805"
"C5","22uF","TopLayer","0805","6336.806","3167.845","0","CAP CER 22UF 16V X5R 0805"
"C2","10uF 35V","TopLayer","0805","5676.619","3548.272","270","CAP CER 10uF 35V X5R 1206/0805"
"C1","10nF 50V","TopLayer","0603","6205.654","3163.570","90","CAP CER 10000PF 50V X7R 0805"
"BKBM","Test Point (Via)","TopLayer","TP","3975.382","2955.840","180",""
"AD_VCC","Test Point (Via)","BottomLayer","TP","5610.169","2769.902","180",""
"AD_D","Test Point (Via)","BottomLayer","TP","5609.092","2700.411","180",""
"*FAULT","Test Point (Via)","TopLayer","TP","7246.651","3781.493","90",""
"*DONE","Test Point (Via)","TopLayer","TP","7175.490","3752.028","90",""
"12V","Test Point (Via)","TopLayer","TP","6559.373","2722.951","90",""
"12FB","Test Point (Via)","TopLayer","TP","6393.562","3437.489","90",""
"5V","Test Point (Via)","TopLayer","TP","6706.591","3883.980","0",""
"5FB","Test Point (Via)","TopLayer","TP","6557.803","3896.199","90",""
"3V3","Test Point (Via)","TopLayer","TP","5589.854","4484.340","90",""
"+HV","Test Point - 5019","BottomLayer","TP380X203","6376.006","2238.704","270","PC Test Point, Miniature Phosphor Bronze, Silver Plating Surface Mount Mounting Type"
